,Game Of Thrones S07E01 Dragonstone.srt,Game Of Thrones S07E02 Stormborn.srt,Game Of Thrones S07E03 The Queen's Justice.srt,Game Of Thrones S07E04 The Spoils Of War.srt,Game Of Thrones S07E05 Eastwatch.srt,Game Of Thrones S07E06 Beyond The Wall.srt,Game Of Thrones S07E07 The Dragon And The Wolf.srt
421,I don't expect you to trust me outright.,( door opens ),I don't sleep very well.,Speaking of good hearts-- Missandei of Naath.,You're thinking it right now.,"You've been thinking about my death quite a bit, haven't you?",Not at all.
422,You need proof of my honest intentions.,You leave tomorrow.,"Not at all, really.","Ser Davos, Lord Snow.","You don't want to be,",Is this one of the items you discussed,"As soon as it opened its mouth,"
423,"In my experience,",Were you going to say goodbye?,I lie in bed and I stare at the canopy,"King Snow, isn't it?",but the thought just won't go away.,with your brother in King's Landing?,"the world disappeared for me,"
424,the surest way to a woman's heart is with a gift.,I will see you when I return.,and imagine ways of killing my enemies.,"No, that doesn't sound right.",I have work to do.,I'm trying to serve you by planning for the long term.,right down its black throat.
425,A priceless gift.,But you don't know when that will be.,"How to destroy Ellaria Sand, the woman who murdered my only daughter.",- King Jon? - It doesn't matter.,My lady.,"Perhaps if you planned for the short term,",All I could think about was keeping those gnashing teeth
426,I won't return to King's Landing,No one knows.,I thought about having Ser Gregor,"Forgive me, but may I ask a question?","( door opens, closes )",we wouldn't have lost Dorne and Highgarden.,"away from the ones who matter most,"
427,until I have that for you.,I wish you good fortune.,crush your skull the way he did Oberyn's.,Of course.,"Last time I was here, I killed my father with a crossbow.",We will discuss the succession after I wear the crown.,away from my family.
428,( labored breathing ),Missandei.,"It would be poetic, I suppose, but fast, too fast.","Your name is Jon Snow, but your father's name was Ned Stark?","Last time I was here, you killed my son with wildfire.",( wind howling ),Maybe Euron Greyjoy had the right idea.
429,- ( man breathing heavily ) - ( men coughing ),It is hard for me to say goodbye to you.,I thought about having him crush your daughter's skull.,I'm a bastard.,There's a path to the left that hugs the cliff.,( all panting ),"Get on a boat, take those who matter--"
43,I want us both to go home. But they took it from us.,"People used to tell my brother that sort of thing,",( men murmuring ),"Come on, you can tell me.",only I get to kill you.,How do you keep your balls from freezing off?,"Not without a cock, you don't."
430,"( farts, groans )",Why?,She's so beautiful.,My mother and father weren't married.,The guards hardly ever patrol it.,Look!,You're pregnant.
431,( gagging ),You know why.,The thought of this lovely face,Is the custom different in Naath?,Too many steps.,The Hound: A bear.,( sighs )
432,- ( flies buzzing ) - ( coughs ),I don't.,"cracking open like a duck egg,","We don't have marriage in Naath,",You're not staying here?,Big fucker.,No one is less happy about this than I am.
433,( grunts ),Y-you are my weakness.,"no, it's just not right.",so the concept of a bastard doesn't exist.,I've got my own business in Flea Bottom.,Do bears have blue eyes?,I know.
434,( sighs ),That's what I am?,- ( Tyene whimpers ) - ( gasps ),That sounds... liberating.,What if someone takes the boat?,( grunting ),I respect what you did.
435,( chatter ),Your weakness?,Mama.,Why did you leave your homeland?,Then we're fucked. Best hurry.,- ( roars ) - ( man screaming ),"Wish you hadn't done it, but I respect it."
436,( gagging ),"When Unsullied are young, the masters learn their fears.",( grunts ),I was stolen away by slavers.,We don't have time for this.,( distant roaring ),This place was the beginning of the end for my family.
437,( sighs ),"One boy is scared of dogs,",( crying ),I'm sorry.,We should be preparing the city for a siege.,( roaring ),( speaking Valyrian )
