,Game Of Thrones S07E01 Dragonstone.srt,Game Of Thrones S07E02 Stormborn.srt,Game Of Thrones S07E03 The Queen's Justice.srt,Game Of Thrones S07E04 The Spoils Of War.srt,Game Of Thrones S07E05 Eastwatch.srt,Game Of Thrones S07E06 Beyond The Wall.srt,Game Of Thrones S07E07 The Dragon And The Wolf.srt
1,♪ (PIANO PLAYING) ♪,ELLARIA: The Lannisters have declared war on house Tyrell.,I wish you all the happiness in the world.,(GRUNTING),"Clegane, look into the flames.",LORD VARYS: Your father has proved to be an awful traitor.,(GROANS)
10,(CHANTING CONTINUES),of better men.,Son of Ned Stark.,"RANDYLL TARLY: She has three full-grown dragons, Your Grace.",Closest castle to Hardhome is Eastwatch by the sea.,(DRAGON GROWLING),SANSA STARK: She would if she thought I was going to betray Jon.
100,"I'm Meera Reed, daughter of Howland Reed.",You wish to know where my true loyalties lie?,Good.,We must devise a way to raise their spirits.,Step back and shut your mouth.,"Your father wanted to execute me, you know?",I was only trying to protect her.
101,"This is Brandon Stark,","Not with any king or queen, but with the people.","If you don't mind my saying,","Yes, perhaps we could be of assistance",Who are you?,I heard.,You and me both.
102,son of Ned Stark.,The people who suffer under despots and prosper under just rule.,I don't think you should return to Westeros.,in some current venture.,A stupid boy.,"He was in the right, of course.",She's alive.
103,How do I know that's true?,The people whose hearts you aim to win.,I'm not sure you'd be safe here.,My only venture at this moment,"I am Dickon Tarly,",Didn't make me hate him any less.,Arya.
104,You were at the Fist of the First Men.,"If you demand blind allegiance,","Oh, I will return, dear Spider.",is reestablishing control over this continent,son of Randyll Tarly.,"- I'm glad he didn't catch you. - Me, too.",- Where? - Winterfell.
105,You were at Hardhome.,I respect your wishes.,- One last time. - My lady--,and every person on it.,You are the future of your house.,Your father gave me this sword.,Who's protecting her if you're here?
106,You've seen the Army of the Dead.,Grey Worm can behead me or your dragons can devour me.,I have to die in this strange country.,I see a great deal of potential in that venture.,This war has already wiped one great house from the world.,Changed the pommel from a bear to a wolf...,The only one that needs protecting
107,You've seen the Night King.,"But if you let me live, I will serve you well.",Just like you.,I imagine it would require outside investment.,Don't let it happen again. Bend the knee.,but it's still Longclaw.,is the one that gets in her way.
108,He's coming for us.,I will dedicate myself to seeing you on the Iron Throne,Missandei: You stand in the presence,"It will, indeed.",I will not.,Lord Commander Mormont,It won't be me.
109,For all of us.,because I choose you.,"of Daenerys Stormborn of House Targaryen,","I need to expand my armies, my navies.","Your Grace, nothing scrubs bold notions from a man's head",thought you'd never come back to Westeros.,Tyrion: Here we are--
11,Our uncle Euron returned home after a long absence.,SAM: It's a map of Dragonstone.,Let's get them inside.,How do you propose to stop them?,TORMUND GIANTSBANE: And that's where I'll go.,TYRION LANNISTER: Daenerys is not her father.,"With the faces, I can become someone else."
110,"Okay, come on.",Because I know the people have no better chance than you.,"rightful heir to the Iron Throne,","My Hand, Qyburn, has made overtures to the Golden Company in Essos.",like a few weeks in a dark cell.,"But you are back,",the heroes of Blackwater Bay.
111,Let's get them inside.,"Swear this to me, Varys.","rightful Queen of the Andals and the First Men,",I know them well.,I meant what I said.,and it's been in your family for centuries.,Strange place for a reunion.
112,( gate rumbling ),"If you ever think I'm failing the people,","Protector of the Seven Kingdoms,",They have helped us recover significant sums,I'm not here to put men in chains.,It's not right for me to have it.,"It is, my lord."
113,Jon: I want every northern maester to scour their records,you won't conspire behind my back.,"the Mother of Dragons,",from parties who had fallen into deep arrears.,"If that becomes an option, many will take it.",He gave it to you.,"I don't think I'm anyone's lord anymore, Podrick."
114,for any mention of dragonglass.,"You'll look me in the eye as you have done today,","the Khaleesi of the Great Grass Sea,",That's good to hear.,I gave them a choice.,I'm not his son.,Save the titles for Ser Bronn of the Blackwater.
115,Dragonglass kills white walkers.,and you'll tell me how I'm failing them.,"the Unburnt, the Breaker of Chains.","I, too, would like them to recover some things that belong to me.",They made it.,I brought shame onto my house.,I'm sure your new queen will be happy to restore yours
116,It's more valuable to us now than gold.,"I swear it, my queen.",This is Jon Snow.,"Rest assured, Your Grace,","Your Grace, if you start beheading entire families--",I broke my father's heart.,if she ends up on the throne.
117,"We need to find it, we need to mine it,","And I swear this-- if you ever betray me,",He's King in the North.,you can count on the Iron Bank's support.,I'm not beheading anyone.,I forfeited the right to claim this sword.,You've been thinking about our new queen?
118,we need to make weapons from it.,I'll burn you alive.,"Thank you for traveling so far, my lord.",- Hmm. - As soon as the gold arrives.,( roaring ),It's yours.,Perhaps you've been reconsidering your allegiances.
119,Everyone aged 10 to 60,I would expect nothing less from the Mother of Dragons.,I hope the seas weren't too rough.,( fire crackling ),Your Grace.,May it serve you well...,Remember my offer--
12,"(GRUNTS, SCREAMS)",GILLY: That's dragonglass.,"TYRION LANNISTER: For decades, House Lannister",We are currently at work on a solution.,Looks like we're the Nightswatch now.,VARYS: And she never will be. With the right counsel.,I wonder what it would feel like to be the Lady of Winterfell.
120,"will drill daily with spears, pikes, bow and arrow.","Forgive me, my queen.","The winds were kind, Your Grace.",Littlefinger: This is for you.,"Daenerys: Lord Randyll Tarly, Dickon Tarly,",and your children after you.,"whatever they're paying you, I'll pay double."
121,It's about time we taught these boys of summer how to fight.,A red priestess from As'shai has come to see you.,"Apologies, I have a Flea Bottom accent, I know,","The last man who wielded it meant to cut your throat,","I, Daenerys of House Targaryen, First of My Name,",( sighs ),"And that would be double what now, exactly?"
122,- ( laughter ) - Not just the boys.,( speaking Valyrian ),"but Jon Snow is King in the North, Your Grace.",but your mother fought him off.,"Breaker of Chains, and Mother of Dragons,",( chatter ),Don't you worry about me. I'm doing all right.
123,We can't defend the North,She once served another who wanted the Iron Throne.,- He's not a lord. - Forgive me--,"The other dagger,",sentence you to die.,Father used to watch us from up here.,- Looking after myself. - Tyrion: Are you?
124,if only half the population is fighting.,"It didn't end well for Stannis Baratheon, did it?","Your Grace, this is Ser Davos Seaworth.","the one that took her life,",Dracarys.,He wouldn't say much.,Helping me to arrange this meeting
125,You expect me to put a spear in my granddaughter's hand?,"No, it didn't.","Forgive me, Ser Davos.",I would have stopped that dagger with my own heart,( both screaming ),You probably don't remember.,"wasn't exactly looking after yourself, was it?"
126,I don't plan on knitting by the fire while men fight for me.,You chose an auspicious day to arrive at Dragonstone.,"I never did receive a formal education,",if I could have.,- ( man shouts ) - ( Drogon roaring ),You were inside knitting all the time.,You put yourself at risk.
127,"I might be small, Lord Glover, and I might be a girl,",We've just decided to pardon those,but I could have sworn I read,I wasn't there for her when she needed me most.,( door closes ),I remember.,I put yourself at risk. Important difference.
128,but I am every bit as much a Northerner as you.,who once served the wrong king.,"the last King in the North was Torrhen Stark,",But I am here for her now,My-- my lord...,"One time, the boys were shooting arrows with Ser Rodrik.","It's your head Queen Cersei's offered a bag of gold for, it's not mine."
129,"Indeed you are, my lady. No one has questioned--","The Lord of Light doesn't have many followers in Westeros, does he?","who bent the knee to my ancestor, Aegon Targaryen.","to do what she would have done,",How many men did we lose?,"I came out here after,","Now, thanks to me,"
13,"THEON GREYJOY: He murdered our father, and took the Salt Throne from Yara.","A mountain of it, beneath the ground.","has been the true power in Westeros,",(THUDDING),"ARYA STARK: This suits you, Lady Stark.","I am her hand, not her head.",All I'd need to find out... is your face.
130,And I don't need your permission to defend the North.,"Not yet, but even those who don't worship the Lord","In exchange for his life and the lives of the Northmen,",to protect her children.,We haven't done a full accounting.,"and Bran had left his bow behind,",she's got two traitors' heads coming right through her door.
131,"We'll begin training every man, woman, boy, and girl on Bear Island.",can serve his cause.,Torrhen Stark swore fealty to House Targaryen in perpetuity.,"Anything I can do for you, Brandon,",It's not only armies that win wars.,just lying on the ground.,She can lop them both off as soon as she gets tired
132,Men: Aye! ( pounding tables ),What does your lord expect from me?,Or do I have my facts wrong?,you need only ask.,"We have the Tyrell gold, we have the Iron Bank behind us.",Ser Rodrik would have cuffed him if he saw.,of the clever words that pour out their pieholes.
133,"While we're preparing for attack,","""The prince who was promised will bring the dawn.""","I wasn't there, Your Grace.",Do you know who this belonged to?,We can buy mercenaries.,There was one arrow in the target.,All thanks to Ser Bronn of the fucking Blackwater.
134,we need to shore up our defenses.,I'm afraid I'm not a prince.,"No, of course not.",No.,"Not the same as our men, but they'll fight","There was no one around, just like now.","If that's not looking after myself, I don't know what is."
135,"The only thing standing between us and the Army of the Dead is the Wall,","Missandei: Your Grace, forgive me,","But still, an oath is an oath.",That very question was what started the War of the Five Kings.,"if they're well paid, which they will be.",No one to stop me.,It's good to see you again.
136,and the Wall hasn't been properly manned in centuries.,but your translation is not quite accurate.,And perpetuity means--,"In a way, that dagger made you what you are today.",I just saw the Dothraki fight.,So I started shooting.,"Yeah, you, too."
137,I'm not the king of the Free Folk.,"That noun has no gender in High Valyrian,","what does perpetuity mean, Lord Tyrion?","Forced from your home,",They'll beat any mercenary army.,"And every shot, I had to go up there","Anyone touches it, I'll kill you first."
138,But if we're going to survive this winter together...,"so the proper translation for that prophecy would be,",Forever.,driven out to the wilds beyond the Wall.,They'll beat any army I've ever seen.,and get my one arrow and walk back and shoot it again.,"Come on, Pod."
139,( grunts ),"""The prince or princess who was promised will bring the dawn.""",Forever.,I imagine you've seen things most men wouldn't believe.,"Killing our men wasn't war for them, it was sport.",I wasn't very good.,Let's you and me go have a drink
14,He would have murdered us if we'd stayed.,John needs to know.,and the feat of that power is Casterly Rock.,(HORSE BRAYING),- Jon left you in charge? - He did.,I can't make her decisions for her.,Daenerys will win this war.
140,You want us to man the castles for you?,"Doesn't really roll off the tongue, does it?","- So I assume, my lord... - ( sighs )",To go through all of that and make your way home again,Her dragon burnt a thousand wagons.,"Finally, I hit the bull's-eye.","while the fancy folks talk, eh?"
141,- ( men murmuring ) - Jon: Aye.,"No, but I like it better.",...you're here to bend the knee.,"only to find such chaos in the world,",Qyburn's scorpion fired bolts bigger than you.,Could have been the 20th shot or the 50th.,I left this shit city
142,Last time we saw the Night King was at Hardhome.,And you believe this prophecy refers to me?,I am not.,I can only imagine--,They couldn't stop it. And she has three of them.,I don't remember.,because I didn't want to die in it.
143,The closest castle to Hardhome is Eastwatch-by-the-Sea.,Prophecies are dangerous things.,Oh.,Chaos is a ladder.,This isn't a war we can win.,"But I hit the bull's-eye, and I heard this.",Am I going to die in this shit city?
144,Then that's where I'll go.,I believe you have a role to play.,"Well, that is unfortunate.",( door opens ),"So, what do we do?","I looked up,",You might.
145,Looks like we're the Night's Watch now.,As does another--,You've traveled all this way,( exhales ),Sue for peace?,"and he's standing right here,",And this is all your idea.
146,( chatter ),"the King in the North, Jon Snow.",to break faith with House Targaryen?,"I'm sorry to have disturbed you, Lord Stark.","I sit on her father's throne,",smiling down at me.,Seems every bad idea has some Lannister cunt behind it.
147,"If they breach the Wall,",Jon Snow?,Break faith?,I'm not Lord Stark.,the father you betrayed and murdered.,I knew what I was doing was against the rules.,And some Clegane cunt to help them see it through.
148,the first two castles in their path,- Ned Stark's bastard? - You know him?,Your father burned my grandfather alive.,What's that?,"And in her mind, she's winning.","But he was smiling, so I knew it wasn't wrong.",( footsteps approach )
149,are Last Hearth and Karhold.,I travelled with him to the Wall when he joined the Night's Watch.,He burned my uncle alive.,Maester Wolkan built it for me,What sort of offer do you think she'd make?,The rules were wrong.,Remember me?
15,"Build me a thousand ships, and I will give you this world.",You must send me away.,"Grey Worm and the Unsullied will sail for the Rock,",HOT PIE: I thought you'd be heading for Winterfell.,(GRUNTING),You need to find a way to make her listen.,"If you want Cersei to bend the knee,"
150,The Umbers and the Karstarks betrayed the North.,And why do you think the Lord of Light singled out this Jon Snow?,He would have burned the Seven Kingdoms--,so I can move around more easily.,Maybe we can count on Tyrion to intercede on our behalf,"I was doing what I was meant to be doing, and he knew it.","Yeah, you do."
151,Their castles should be torn down,"Aside from the visions you've seen in the flames, that is.",My father... was an evil man.,It's a very good idea.,by way of apology for murdering our father and son.,Now he's dead.,You're even fucking uglier than I am now.
152,with not a stone left standing.,"As Lord Commander of the Night's Watch,",On behalf of House Targaryen...,You're leaving.,He didn't.,Killed by the Lannisters,What did they do to you?
153,The castles committed no crimes.,he allowed the wildlings south of the Wall,I ask your forgiveness,"I don't want to leave you,","You saw the crossbow, you saw his body.",with your help.,Doesn't matter.
154,And we need every fortress we have for the war to come.,to protect them from grave danger.,for the crimes he committed against your family.,"but when-- when they come,",I'm not talking about Father.,What?,"That's not how it ends for you, brother."
155,"We should give the Last Hearth and Karhold to new families,","As King in the North,",And I ask you not to judge a daughter,I need to be with my family.,Tyrion didn't kill Joffrey. He had nothing to do with it.,That's your pretty handwriting.,You know who's coming for you.
156,loyal families who supported us against Ramsay.,"he has united those wildlings with the Northern houses,",by the sins of her father.,And you're safe.,"- After all this time, it still amazes me that you-- - It was Olenna.",Septa Mordane used to crack my knuckles,You've always known.
157,Men: Aye!,so together they may face their common enemy.,"Our two houses were allies for centuries,","Well, as safe as anyone can be now.",She confessed before she died.,'cause I couldn't write as well as you.,Where is she?
158,The Umbers and the Karstarks,He sounds like quite a man.,and those were the best centuries,You don't need me anymore.,And this was before or after,"""Robb, I write to you today with heavy heart.",She'll be here soon.
159,have fought beside the Starks for centuries.,Summon Jon Snow.,the Seven Kingdoms have ever known.,"No, I don't.",she drank the poison you so kindly provided her?,"Our good King Robert is dead,",Didn't travel with you?
16,There's a storm coming.,I command you to heal yourself.,and take it.,Jon Snow came down from Castle Black,- JAIME LANNISTER: Lord Tarly. - I believe you know my son.,JEOR MORMONT: It's called Longclaw. It was my father's sword.,you can ask her yourself.
160,- They've kept faith for generation after generation. - And then they broke faith.,Let him stand before you,Centuries of peace and prosperity,That's all you've got to say?,After.,"killed from wounds he took in a boar hunt.""",No.
161,I'm not going to strip these families of their ancestral homes,"and tell you the things that have happened to him,",with a Targaryen sitting on the Iron Throne,Thank you.,And you believed her?,You don't have to read it. I remember.,( dragons screeching )
162,because of the crimes of a few reckless sons.,the things that he has seen with his own eyes.,and a Stark serving as Warden of the North.,Thank you?,"If you were Olenna, would you rather have seen","""Father has been charged with treason.",- ( screeching ) - ( wings flapping )
163,Sansa: So there's no punishment for treason,I can't speak to prophecies,"I am the last Targaryen, Jon Snow.",For helping me.,your granddaughter married to Joffrey or Tommen?,He conspired with Robert's brothers against my beloved Joffrey,( roaring )
164,and no reward for loyalty?,"or visions in the flames,",Honor the pledge your ancestor made to mine.,My brother died for you.,Which one would Margaery have been better able to control?,and tried to steal his throne.,( roaring )
165,The punishment for treason is death.,but I like Jon Snow and I trusted him.,Bend the knee and I will name you Warden of the North.,Hodor and Summer died for you.,Which one would have made Olenna,The Lannisters are treating me well,We've been here for some time.
166,Smalljon Umber died on the field of battle.,And I am an excellent judge of character.,"Together, we will save this country",I almost died for you.,the true ruler of the Seven Kingdoms?,and providing me with every comfort.,My apologies.
167,Harald Karstark died on the field of battle.,"If he does rule the North,",from those who would destroy it.,"- Bran... - I'm not, really.",She was telling the truth.,"I beg you, come to King's Landing,",We are all facing a unique--
168,They died fighting for Ramsay.,he would make a valuable ally.,You're right.,Not anymore.,I shouldn't have listened to you.,"swear fealty to King Joffrey,",Euron: Theon!
169,Give the castles to the families,The Lannisters executed his father,You're not guilty of your father's crimes.,( crying ),She should have died screaming.,and prevent any strife between the great houses,I have your sister.
17,You'll be wanting a roof tonight.,I command you to find the cure.,Summon Jon Snow.,with a wildling army and won the Battle of the Bastards.,Do you fight with us...,"It was meant for my son, Jorah.",She has a more important request.
170,of the men who died fighting for you.,and conspired to murder his brother.,And I'm not beholden to my ancestor's vows.,"I remember what it felt like to be Brandon Stark,","She's dead, like her son,",of Lannister and Stark.,"If you don't submit to me here, now..."
171,"( men chattering, pounding tables )",Jon Snow has even more reason to hate Cersei than you do.,Then why are you here?,but I remember so much else now.,"her grandchildren, her whole house.","Your faithful sister, Sansa.""",I'll kill her.
172,When I was Lord Commander of the Night's Watch...,Very well.,"Because I need your help, and you need mine.",You died in that cave.,"And if we don't find a way out of this war, we'll follow them.",They forced me to do it.,I think we ought to begin with larger concerns.
173,I executed men who betrayed me.,Send a raven north.,Did you see three dragons,I did.,So we fight and die or we submit and die.,Did they?,Then why are you talking?
174,I executed men who refused to follow orders.,Tell Jon Snow that his queen,flying overhead when you arrived?,"The kitchen girl, the redhead with the behind.",I know my choice.,With a knife at your throat?,You're the smallest concern here.
175,"My father always said,",invites him to come to Dragonstone...,I did.,The only thing in the kitchen that you've put your cock in is the liver.,A soldier should know his.,Did they put you on a rack and stretch you,Do you remember when we discussed dwarf jokes?
176,"""The man who passes the sentence should swing the sword,""",and bend the knee.,"And did you see the Dothraki,",'Ey up. Where you going?,( Drogon screeching ),until your bones started to pop?,His wasn't even good.
177,and I have tried to live by those words.,( chatter ),all of whom have sworn to kill for me?,In there. I live here.,( roaring ),You don't know what it was like. I was a child.,He explained it at the end.
178,"But I will not punish a son for his father's sins,",Gather round. Come here.,They're hard to miss.,( snickers ) Fuck off.,( snarling ),So was I. I would have let them kill me before I betrayed my family.,Never explain. It always ruins it.
179,and I will not take a family home away,Sansa: You think it's really Tyrion?,"- But still, I need your help? - Davos: Not to defeat Cersei.",I'm Arya Stark. This is my home.,( snarling stops ),They told me it was the only way to save Father.,We don't even let your kind live
18,"I don't have much, but I have hidden a bit of silver",So why's a nice girl on her own heading to King's Landing?,TYRION: He would make a valuable ally.,He's King of the North now.,or with the fallen savages and eunuchs?,"He brought dishonor to our house,",Cersei thinks the army of the dead is nothing
180,from a family it has belonged to for centuries.,It could be someone trying to lure you into a trap.,You could storm King's Landing tomorrow and the city would fall.,( Henk snorts ),( exhales ),And you were stupid enough to believe them.,"in the Iron Islands, you know?"
181,"That is my decision,",Read the last bit.,"Hell, we almost took it and we didn't even have dragons.",Arya Stark's dead.,( screeching ),I remember you standing on that platform with Joffrey and Cersei,We kill you at birth.
182,and my decision is final.,"""All dwarves are bastards in their father's eyes.""",- Almost. - But you haven't stormed King's Landing.,Send for Maester Luwin or Ser Rodrick.,"They're beautiful, aren't they?",when they dragged Father to the block.,An act of mercy for the parents.
183,Ned Umber.,What does that mean?,Why not?,- They'll tell you who I am. - There's no Rodrick here.,"It wasn't the word I was thinking of, but...",I remember the pretty dress you were wearing.,Perhaps you ought to sit down.
184,Alys Karstark.,It's something he said to me the first night we met.,The only reason I can see,Maester's named Wolkan.,"but, yes, they are.",I remember the fancy way you did your hair.,Why?
185,"For centuries, our families fought",You know him better than any of us.,is you don't want to kill thousands of innocent people.,"Go ask Jon Snow, then, the King in the North.",Gorgeous beasts.,You were there?,Sit down or leave.
186,side by side on the battlefield.,What do you think?,"It's the fastest way to win the war,",- He's my brother. - He's a thousand miles away.,They're not beasts to me.,I was there.,( laughing )
187,"I ask you to pledge your loyalty once again to House Stark,",Tyrion's not like the other Lannisters.,"but you won't do it,","Look, it's cold and we're busy,",No matter how big they get,Standing in the crowd near Baelor's statue.,"We are a group of people who do not like one another,"
188,to serve as our bannermen,"He was always kind to me, but it's too great a risk.","which means, at the very least,","- so, you know, best fuck off. - Mm.","or how terrifying to everyone else,",And what did you do?,as this recent demonstration has shown.
189,and come to our aid whenever called upon.,"""The Seven Kingdoms will bleed",you're better than Cersei.,"If Jon's gone, who's in charge of Winterfell?",they're my children.,Did you come running to the rescue?,We have suffered at each other's hands.
19,- from the bandits. - (DISTANT SCREAM),I'm going to kill the queen.,MELISANDRE: Let him stand before you and tell you the things,(GRUNTING),DAENERYS TARGARYEN: What do you think I should do?,but he had the grace to leave the sword before he fled,but a story. What if we prove her wrong?
190,Stand.,as long as Cersei sits on the Iron Throne.,"Still, that doesn't explain why I need your help.",The Lady of Winterfell. Lady Stark.,You weren't gone long.,Did you fight off the Lannisters and save Father?,We have lost people we love at each other's hands.
191,Yesterday's wars don't matter anymore.,Join us.,"Because right now, you and I and Cersei and everyone else,",- Which Lady Stark? - Henk: You tell us.,No.,"- I wanted to. - But you didn't, just like me.","If all we wanted was more of the same,"
192,"The North needs to band together,","Together, we can end her tyranny.""","we're children playing at a game,",You're the one impersonating her sister.,And?,I didn't betray him. I didn't betray Robb.,there would be no need for this gathering.
193,all the living north.,Sounds like a charmer.,screaming that the rules aren't fair.,Tell Sansa her sister's home.,And I have fewer enemies today than I did yesterday.,I didn't betray our entire family for my beloved Joffrey.,We are entirely capable of waging war against each other
194,"Will you stand beside me, Ned and Alys,","Of course, the casual mention of a Dothraki horde,",- You told me you liked this man. - I do.,"Lady Sansa is too busy to waste her breath on you, just like us.",You're not sure how you feel about that.,"You should be on your knees, thanking me.",without meeting face-to-face.
195,now and always?,"a legion of Unsullied, and three dragons--","In the time since he's met me, he's refused to call me queen,","So, for the last time, fuck off.","No, I'm not.",We're standing in Winterfell again because of me.,"So instead, we should settle our differences"
196,Both: Now and always!,a bit less charming.,"he's refused to bow, and now he's calling me a child.",( grunts ),How many men did your army kill,"You didn't win it back, Jon didn't win it back.",and live together in harmony for the rest of our days?
197,"( men cheering, pounding tables )",What?,I believe he's calling all of us children. Figure of speech.,I'm getting into this castle one way or another.,taking Winterfell back from the Boltons?,He lost the Battle of the Bastards.,We all know that will never happen.
198,"Jon: You are my sister, but I am king now.","Fire kills wights, you told me.","Your Grace, everyone you know will die before winter's over","If I'm not who I say I am, I won't last long.",Thousands.,"The Knights of the Vale won the battle,",Then why are we here?
199,Will you start wearing a crown?,What breathes fire?,if we don't defeat the enemy to the north.,But if I am and Sansa finds out you turned me away...,We both want to help people.,and they rode north for me.,This isn't about living in harmony.
2,♪ (PIANO STOPS) ♪,They have declared war on Dorne.,- JAIME LANNISTER: Myrcella? - (PANTING),I lost this dagger.,What do you see?,The girl is innocent. She should be given a chance,Little Theon! Come and get her.
20,ARYA STARK: What did you do?!,"I invited Euron Greyjoy,",that have happened to him.,COMMANDER: Your sister's dead.,"If you use them to melt castles and burn cities,",from Westeros.,Bring the dead to her.
200,When you question my decisions,You're not suggesting Jon meet with her?,"As far as I can see, you are the enemy to the north.","Right, you sit there.",We can only help them from a position of strength.,"While you were off, where? Traveling the world?",It's just about living.
201,"in front of the other lords and ladies, you undermine me.","- No, too dangerous. - But?",I am not your enemy.,Right there.,Sometimes strength is terrible.,- I was training. - Training.,The same thing is coming for all of us.
202,"- So I can't question your decisions anymore? - Of course you can, but--","But if the Army of the Dead makes it past the Wall,",The dead are the enemy.,Don't move.,"When you first came here,","Well, while you were training,",A general you can't negotiate with.
203,Joffrey never let anyone question his authority.,do we have enough men to fight them?,The dead?,"Right, go tell Lady Stark. I'll watch her.",Ser Davos said you took a knife in the heart for your people.,I suffered things you could never imagine.,An army that doesn't leave corpses behind on the battlefield.
204,You think he was a good king?,"If the Mad King's daughter takes the Iron Throne,",Is that another figure of speech?,Henk: I ain't telling Lady Stark. You can tell her.,Ser Davos gets carried away.,"Oh, I don't know about that. I can imagine quite a lot.",Lord Tyrion tells me a million people live in this city.
205,Do you think I'm Joffrey?,she'll destroy the realm as we know it.,The Army of the Dead is on the march.,Koner: Why me?,"So, it was a figure of speech?",You never would have survived what I survived.,They're about to become a million more soldiers in the Army of the Dead.
206,You're as far from Joffrey as anyone I've ever met.,Some of you are bannermen of House Tyrell.,The Army of the Dead?,- Henk: You're gonna tell her. - I'm not.,( footsteps approaching ),I guess we'll never know.,I imagine for most of them it would be an improvement.
207,Thank you.,But House Tyrell is in open rebellion against the crown.,"You don't know me well, my lord,","'Cause if you don't, I'm gonna hit you right in the fucking face",( speaking Dothraki ),What are you going to do with that letter?,This is serious.
208,"You're good at this, you know.","With their help, the Mad King's daughter",but do you think I'm a liar or a madman?,as hard as I can.,Your Grace.,I don't know yet.,I wouldn't be here if it weren't.
209,- At what? - At ruling.,has ferried an army of savages to our shores--,"No, I don't think you're either of those things.",Koner: We told her to wait.,"Jon Snow, this is Ser Jorah Mormont,",Who did you show it to? Where did you find it?,I don't think it's serious at all.
21,They'll both be dead come winter.,the new king of the Iron Islands.,Dragonstone sits on a mountain of dragonglass.,THEON: Euron has her.,you're not different.,"Clegane, look into the flames. What do you see?",(WALKER SHRIEKING)
210,( sighs ) No.,"mindless Unsullied soldiers who will destroy your castles and your holdfasts,",The Army of the Dead is real.,"( sighs ) We were standing right next to her, and...",an old friend.,"You're scared, aren't you?",I think it's another bad joke.
211,You are.,"Dothraki heathens who will burn your villages to the ground,",The white walkers are real.,"And-- and when we turned around, she'd gone, my lady.",I served with your father.,What are you scared of?,"If my brother Jaime has informed me correctly,"
212,You are.,"rape and enslave your women,",The Night King is real. I've seen them.,She-- she was nothing. Some winter town girl.,He was a great man.,You didn't commit any crimes.,you're asking me for a truce.
213,"They respect you, they really do,",and butcher your children without a second thought.,If they get past the Wall,"She comes in asking for, uh, Ser Rodrick...",You look strong.,"- No one's going to hang you. - Well, Arya--",Yes. That's all.
214,- but you have to-- - ( chuckles ),This is how Olenna Tyrell rewards centuries of service and loyalty.,and we're squabbling amongst ourselves...,"- Rodrick, yeah. Luwin, yeah. - ...and Maester Luwin.",You found a cure?,You're scared I'll show it to Jon and he'll be angry.,That's all?
215,Why are you laughing?,- ( people murmuring ) - Cersei: You all remember the Mad King.,we're finished.,"( Henk stammering ) And don't trouble yourself over it, my lady.",I wouldn't be here if I hadn't.,"No, that's not Jon. He'll understand.",Pull back my armies and stand down
216,What did father used to say?,You remember the horrors he inflicted upon his people.,I was born at Dragonstone.,- We'll-- we'll find her. - You don't have to.,"I return to your service, my queen,","You were just a scared little girl,",while you go on your monster hunt.
217,"Everything before the word ""but"" is horse shit.",His daughter is no different.,Not that I can remember it.,I know where she is.,if you'll have me.,all alone with the wicked Lannisters.,Or while you solidify and expand your position.
218,He never said that to me.,"In Essos, her brutality is already legendary.",We fled before Robert's assassins could find us.,( fire crackling ),It would be my honor.,Do you know how happy Cersei would be right now if she saw us fighting?,Hard for me to know which it is with my armies pulled back
219,"No. No, he never cursed in front of his girls.",She crucified hundreds of noblemen in Slaver's Bay.,"Robert was your father's best friend, no?",( chain rattling ),( ravens cawing ),This is exactly what she wants.,until you return and march on my capital with four times the men.
22,BERIC DONDARRION: Cold winds are rising in the North.,The Iron Fleet is the greatest armada Westeros has ever seen.,We can never hope to defeat the army of the dead alone.,I couldn't save her. I tried.,You're just more of the same.,(FIRE CRACKLING),Go!
220,Sansa: Because he was trying to protect us.,"And when she grew bored of that,",I wonder if your father knew his best friend sent assassins,Do I have to call you Lady Stark now?,( ravens cawing ),This is what she's always wanted-- to tear us apart.,Your capital will be safe until the northern threat is dealt with.
221,"He never wanted us to see how dirty the world really is,",she fed them to her dragons.,to murder a baby girl in her crib.,Yes.,( panting ),You're scared the Northern lords will read it.,You have my word.
222,but Father couldn't protect me and neither can you.,"It is my solemn duty to protect the people, and I will.","Not that it matters now, of course.",You shouldn't have run from the guards.,Ravens.,They wouldn't think much of Lady Sansa,The word of a would-be usurper.
223,"- Stop trying. - All right, I'll stop trying to protect you","But I need your help, my lords.",I spent my life in foreign lands.,I didn't run.,We need to send ravens.,if they knew how she did Cersei's bidding.,There is no conversation
224,and you stop trying to undermine me.,"We must stand together, all of us...","So many men have tried to kill me,",You need better guards.,I put very little stock in it myself.,What would little Lyanna Mormont say?,that will erase the last 50 years.
225,I'm not trying to undermine you!,if we hope to stop her.,I don't remember all their names.,( chuckles ),"Prophecies of doom are never in short supply,",She's younger than you were when you wrote this.,We have something to show you.
226,You have to be smarter than Father.,( all murmuring ),I have been sold like a broodmare.,It suits you... Lady Stark.,especially when winter comes.,"Are you going to say, ""But I was just a child?""",( chains rattling )
227,You need to be smarter than Robb.,"She has three full-grown dragons, Your Grace.","I've been chained and betrayed,",Jon left you in charge?,I remember Wolkan.,You're angry.,( box thuds )
228,"I loved them, I miss them, but they made stupid mistakes,",The same as Aegon when he conquered,raped and defiled.,He did.,"A little timid, but a sharp mind.",Sometimes anger makes people do unfortunate things.,( screeching )
